,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/,Negative,0.333
UgyYj6RIK9jgtSniAyN4AaABAg,Trild Live play,57 minutes ago,1515105171791,So that pizza slice from 2 years ago is still good!,0,false,0,,,,,,,/Positive/,Positive,0.998
Ugx0s25vdV3UF9BJ8mp4AaABAg,Zaid Al Alaf,1 day ago,1515022191794,Actually I live In the UAE and the expiry date shows the exact date it goes bad,0,false,0,,,,,,,/Positive/,Positive,0.395
UgwNHQR10iD_onTvpk14AaABAg,XxDonnie TruumpxX,1 day ago,1515022191798,Why was the green giant on beans made into a woman?,0,false,0,,,,,,,/Negative/,Negative,0.988
UgxC3N9Ya_2a81umLV14AaABAg,Mr Badloot,1 day ago,1515022191824,Adam sometimes reminds me of the guy from buzz.,0,false,0,,,,,,,/Positive/,Positive,0.988
Ugx2QT_o5kp4GI0pBRF4AaABAg,Frank Diaz,2 days ago,1514935791826,I wonder who that girl is,0,false,0,,,,,,,/Negative/,Negative,0.973
UgyKPcY-sNosd4VgEOt4AaABAg,Furluge,2 days ago,1514935791828,I always love how adam ruins everything's answer to things invariably becomes lets use government to force people to do something because that will totally never backfire.,0,false,0,,,,,,,/Positive/,Positive,0.965
UgxmvuMld_-pkjbgc7Z4AaABAg,Burak Kutlu,2 days ago,1514935791831,Cringe,0,false,0,,,,,,,/Positive/,Positive,0.965
UgwyAfF0K9OYYexeH2Z4AaABAg,TJD Vid's,2 days ago,1514935791833,Where has Adam ruins everything gone?,0,false,0,,,,,,,/Neutral/,Neutral,0.77
Ugx-Eukr5z8nIfeqynN4AaABAg,Mr. Keeney,2 days ago,1514935791835,I was working at white castle and we got a truck of freash milk delivered and i grabbed one for lunch and the use by date was not for month and it was spoiled never drink cuddled milk my manger called truth dairy and gave them a ear full of faul words demanding they come and get all the milk and replace it and that of they don't white castle has the right to terminate there contract,0,false,0,,,,,,,/Positive/,Positive,0.576
UgzBe68HaykpKMK0wXJ4AaABAg,Timba Wulf Osu!,2 days ago,1514935791838,Woooow. That .. that's it.,1,false,0,,,,,,,/Negative/,Negative,0.596
UgwBhajYqRuUFJL0PL94AaABAg,Reginald Nixon,2 days ago,1514935791841,God bless America,0,false,0,,,,,,,/Negative/,Negative,0.66
Ugz-mJK-RKPxQ_aLmXN4AaABAg,Patloo Son,2 days ago,1514935791843,🍅🍅Those boobs never expire!,0,false,0,,,,,,,/Negative/,Negative,0.998
UgxRUU5lc-gzFQyeOy14AaABAg,noobmaster117,2 days ago,1514935791846,"Look, Adam, I work in the hotel bizz, it doesn't matter what you say, customers pay attention to this shit and will sue our ass.",0,false,0,,,,,,,/Negative/,Negative,0.551
UgxPFPMkwr1om7iTc5V4AaABAg,Paul Pardee,2 days ago,1514935791850,"Why is food waste a huge problem?  We don't have any shortages (if we did, people wouldn't give a damn about sell-by dates), and people who can't afford to throw away good food don't.

Saying ""you need to eat your food because millions are going hungry"" is like saying ""you need to drive slower because thousands of people are speeding"".  Whether you eat your food or throw it away, it'll never be eaten by someone starving, and you buying food to replace what you tossed isn't taking it out of the mouths of those who can't afford to eat it.",0,false,0,,,,,,,/Negative/,Negative,0.998
UgwMKCIj2GvAlgoPqwh4AaABAg,A Guy,2 days ago,1514935791853,I drank some milk that was 2 weeks ago it was just a little chunky,0,false,0,,,,,,,/Negative/,Negative,0.66
UgxU0HPMb1Rgek_rGMt4AaABAg,Ed Plays,2 days ago,1514935791857,This is not news. Everybody should know this...,0,false,0,,,,,,,/Negative/,Negative,0.998
UgwkwYVTSxRg-OzYm8N4AaABAg,slickkvic 22,2 days ago,1514935791860,That yolk.,0,false,0,,,,,,,/Positive/,Positive,0.902
UgxQVGA9kmL_ZaLKtGl4AaABAg,Mia Peralta,2 days ago,1514935791863,Yessss  I'm glad that people know that you could this,0,false,0,,,,,,,/Positive/,Positive,0.998
UgzWuCYJfixUpXXpMlZ4AaABAg,Alec Thomas,2 days ago,1514935791867,I wonder if dates also apply to medicines?,0,false,0,,,,,,,/Neutral/,Neutral,0.998
UgxNdIpNENGCtZieAct4AaABAg,DeSean Jackson,2 days ago,1514935791870,I can see that girl's nipples through her shirt,0,false,0,,,,,,,/Neutral/,Neutral,0.697
