,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability,Level 2 label,Level 2 probability
id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Neutral/Surprise/,Neutral,0.396,Surprise,0.534
UgxV6axbDCTAL8CXkWJ4AaABAg,orsie200,1 day ago,1513498801120,Just getting around to watching this today and now he’s accused of sexual harassment too.  Not surprising at all to me.  Never liked the guy.,0,true,1,,,,,,,/Negative/Sadness/,Negative,0.408,Sadness,0.248
,,,,,,,,UgxV6axbDCTAL8CXkWJ4AaABAg.8aFiIE-a7d08aHdXwFFRcm,highjinxwillie62,13 hours ago,1513538401856,orsie200 look up what’s known as the baby groupies. Most of them are dead now. It’s funny that no one is bringing them up. Most of 70s rock royalty and their management would be in prison now for statutory rape and rape.,0,/Positive/Fun/,Positive,0.385,Fun,0.329
UgzxnkX3XAPIzAZYJaB4AaABAg,Paul inportsva,1 day ago,1513498801128,"Gene Simmons is just another old, tired, washed up burn out that thinks he is relevant. They should also ban Kid Rock. He also fits the mold",1,false,0,,,,,,,/Negative/Worry/,Negative,0.407,Worry,0.231
UgzIvDpbe8mu844KtsF4AaABAg,Emph Squee,2 days ago,1513412401145,"Simmons is a fraud, musically and otherwise.",1,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.431,Surprise,0.619
UgxwcBUYp3R9Zb4RjL94AaABAg,MAFIOSA E,2 days ago,1513412401152,Gene Simmons is nasty. Eww! Brain damage much?,1,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.352,Surprise,0.55
Ugz5SD4bQxfu4apa-c54AaABAg,Jim Harple,4 days ago,1513239601160,Like he cares if he is banned from anything ! Fkn stupid news!,0,false,0,,,,,,,/Negative/Hate/,Negative,0.591,Hate,0.262
UgwKT5jd2Vf7Nmp9V3Z4AaABAg,Jim Harple,4 days ago,1513239601169,Gene is brilliant! Causing a stir witch will increase sales of book etc ... he is certainly smarter then these  people !  They don't get it . I have met him & he was funny smart & fun loving!,0,true,1,,,,,,,/Positive/Love/,Positive,0.548,Love,0.329
,,,,,,,,UgwKT5jd2Vf7Nmp9V3Z4AaABAg.8a6maJD2uAo8aC3MNI-lQs,Emph Squee,2 days ago,1513412401823,He's obviously smarter than you.,0,/Neutral/Surprise/,Neutral,0.428,Surprise,0.615
UgxdHaTfDEQXuhowPMF4AaABAg,PS Wright,1 week ago,1512980401193,"Wait, I wanna see that. Where is the video? I wanna see some folks get bopped on the head with a book and their intelligence compared based on the sound. That shit would be hilarious. 

1) He's using drugs.
2) He's trying to stay in the limelight. He's a rock star. Nobody should take anything he does particularly seriously.",1,true,1,,,,,,,/Negative/Worry/,Negative,0.354,Worry,0.255
,,,,,,,,UgxdHaTfDEQXuhowPMF4AaABAg.8a-RWVtT8sy8a7ec_vpPqj,Mark Rodriguez,4 days ago,1513239601865,PS Wright I'd seen the whole interview and what fox had said what Gene Simmons allegedly did that is worth a ban is untrue. He did nothing wrong.,0,/Neutral/Surprise/,Neutral,0.469,Surprise,0.855
UgwMea8rq7Ys9aCdaQh4AaABAg,grand unified,1 week ago,1512980401203,"Simons is the"" chrump ""of rock",2,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.395,Surprise,0.727
UgzGMcBTTK9bTAV2VUN4AaABAg,Ceddy Nash,2 weeks ago,1512375601211,"Funny as hell,  not sorry.  I would have laughed my ribs in.",4,false,0,,,,,,,/Negative/Boredom/,Negative,0.642,Boredom,0.248
Ugwzq_gbvewEG29-Y2d4AaABAg,stephanie cust,2 weeks ago,1512375601219,It's Gene Simon's for Christ sakes LMAO!!! he's been offensive his whole life you think he's gonna stop for Fox....maybe he was taking pot shots at Donald Duck 😉😘 😏,2,true,1,,,,,,,/Positive/Happiness/,Positive,0.376,Happiness,0.245
,,,,,,,,Ugwzq_gbvewEG29-Y2d4AaABAg.8_fDtkrWpue8_mxKxtxN7O,Leslie Sauceman,1 week ago,1512980401813,stephanie cust my dad calls him Donald duck too! Lol,0,/Negative/Worry/,Negative,0.449,Worry,0.256
UgzubL3do2Vf5893DzV4AaABAg,Roberta Mathers,2 weeks ago,1512375601242,Typical Gene Simmons behaviour. It's well know. Don't invite him on if you can't handle it.,0,false,0,,,,,,,/Negative/Hate/,Negative,0.582,Hate,0.255
UgxQP3rSjdWCCijCFbR4AaABAg,Cynthia Coney,2 weeks ago,1512375601250,as I recall he did very well on jeopardy.surprisingly Cheech Marin scored very high also,0,false,0,,,,,,,/Neutral/Surprise/,Neutral,0.395,Surprise,0.836
Ugyln0HBqSIbMQ-m5G54AaABAg,william curry,2 weeks ago,1512375601264,the fine young jerks ..yeah I wouldnt like any kiss music they stink right they only sold 100 million world wide - asses before asses now ..you never disappoint tyt,2,true,1,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.42,Empty tweets / Garbage / No sentiments,0.514
,,,,,,,,Ugyln0HBqSIbMQ-m5G54AaABAg.8__PgMiDvhi8_dkNDd9mUK,Danny H,2 weeks ago,1512375601832,Ace Frehley was my Favorite member of KISS,0,/Positive/Love/,Positive,0.54,Love,0.343
UgwPBy2sT_xoPNb2LWl4AaABAg,Billy Day,2 weeks ago,1512375601274,"They should give Ted Nugent, Gene Simmons, and Kid Rock anchor spots on fox and friends.",2,false,0,,,,,,,/Positive/Enthusiasm/,Positive,0.435,Enthusiasm,0.252
UgxvpN5Yyf0YTNF_WdZ4AaABAg,Summanus 33,2 weeks ago,1512375601292,"Jajajaja too f in funny! F Fox, such a joke network of pure propaganda garbage shit!",2,false,0,,,,,,,/Negative/Hate/,Negative,0.51,Hate,0.243
UgzzWtp0BkUs_1CM2JV4AaABAg,dany richard,2 weeks ago,1512375601298,Shitting on Gene for absolutely no reason...,1,false,0,,,,,,,/Negative/Hate/,Negative,0.696,Hate,0.247
UgzR_dNV5TEjO6w_CDh4AaABAg,Malamute Aerospace,2 weeks ago,1512375601302,these clowns talking about simpleton behavoir ha!!!,0,false,0,,,,,,,/Positive/Fun/,Positive,0.537,Fun,0.258
UgzuUGaglkwYwCng9rZ4AaABAg,shawn chenard,2 weeks ago,1512375601308,Yeh gene Simmons is dumb thats why hes where he is in life and you are hosting the young turks haha dumbass,1,true,1,,,,,,,/Positive/Fun/,Positive,0.426,Fun,0.259
,,,,,,,,UgzuUGaglkwYwCng9rZ4AaABAg.8_XKKC1WOM68_mxguM7liL,Leslie Sauceman,1 week ago,1512980401943,shawn chenard i dont think they were trying to put him down just telling what happened,0,/Negative/Worry/,Negative,0.562,Worry,0.319
UgySnMx2Imkh-GWas1d4AaABAg,Jah Rastafari,2 weeks ago,1512375601326,"Brett-- The word should be ""Bonked'.",0,false,0,,,,,,,/Positive/Enthusiasm/,Positive,0.488,Enthusiasm,0.531
Ugz5cKzhseUrrvEfH494AaABAg,Yushunao Xcent,2 weeks ago,1512375601330,Fox is shit...,2,false,0,,,,,,,/Negative/Hate/,Negative,0.611,Hate,0.238
Ugx-IqQiQuWXqXkeUth4AaABAg,Frieda,2 weeks ago,1512375602616,"This just sounds like par for the course for Fox News. I'm mean garbage in, garbage out.",1,true,1,,,,,,,/Positive/Relief/,Positive,0.36,Relief,0.259
,,,,,,,,Ugx-IqQiQuWXqXkeUth4AaABAg.8_UPW4UCHy48_UTX6e_2MI,AdmiralBetas,2 weeks ago,1512375603303,"Garbage goes in, garbage goes out, you can't explain that",0,/Negative/Hate/,Negative,0.531,Hate,0.228
UgxXju9gBMwvNZhVOON4AaABAg,Dan Geller,2 weeks ago,1512375602622,Who cares..... fox news sucks,2,false,0,,,,,,,/Negative/Hate/,Negative,0.713,Hate,0.26
UgyYjKInQimp97jXfOR4AaABAg,Hundredth Meridian,2 weeks ago,1512375602640,The Donald Tump of rock.,3,false,0,,,,,,,/Positive/Happiness/,Positive,0.435,Happiness,0.267
UgyaXF9iDuRhrvB_eZd4AaABAg,DaniH,2 weeks ago,1512375602644,"That's crazy behaviour? He does this stuff for extra free publicity. You're the dumb ones. He's making money hand over fist and laughing at all of you for over-reacting to silliness. I have to rethink my sub to TYT. You are putting out absurd non-news the last while. I'd like to keep hearing about world issues, not stupid gossip. You guys offered yourselves as the other choice because we're inundated with crap news and now you're spreading it like Mary spread Typhoid, just like every other news program. Get it together TYT or your own ratings will be in the toilet soon.",1,false,0,,,,,,,/Negative/Hate/,Negative,0.472,Hate,0.254
Ugz0X30rKObGoOm0Ii94AaABAg,dave parga,3 weeks ago,1511770802650,how am I going to get my gene simmons fix.,0,false,0,,,,,,,/Negative/Worry/,Negative,0.534,Worry,0.277
Ugy81AKjvBtFl4OJpfl4AaABAg,Joe Merlo,3 weeks ago,1511770802657,People just hate the truth people like you can't take the truth,0,false,0,,,,,,,/Negative/Hate/,Negative,0.599,Hate,0.31
Ugx0v1DlEk67CSkHlOx4AaABAg,Joe Merlo,3 weeks ago,1511770802664,I can't believe what a bunch of pussies you are you offend me who gives a shit about your opinion I'll never watch this link again you guys sound jealous,0,true,3,,,,,,,/Negative/Anger/,Negative,0.483,Anger,0.225
,,,,,,,,Ugx0v1DlEk67CSkHlOx4AaABAg.8_Rksml05JR8_SdGdIaEJW,#MelaninPrincess,3 weeks ago,1511770803272,Joe Merlo Are people not allowed to be offended?,2,/Negative/Worry/,Negative,0.385,Worry,0.222
,,,,,,,,Ugx0v1DlEk67CSkHlOx4AaABAg.8_Rksml05JR8_SsI7vE1e8,Paul T Sjordal,3 weeks ago,1511770803276,"Joe Merlo 
Aw, did the poor conservative snowflake get triggered because another conservative actually had to face consequences for something he did? That's so unfair! You're so persecuted! Don't those bad people know that conservatives are special snowflakes that must never be criticized? It's so unfair! Waaaaah!

You people are so easily triggered. Isn't it tiring being offended all the time?",4,/Negative/Hate/,Negative,0.715,Hate,0.227
,,,,,,,,Ugx0v1DlEk67CSkHlOx4AaABAg.8_Rksml05JR8_YoZdi_kXo,hiphopesq,2 weeks ago,1512375603280,"Fox News banned him, so maybe Fox News was offended?",0,/Negative/Worry/,Negative,0.464,Worry,0.241
