,,,,,,,,,,,,,,,Classification path,Level 1 label,Level 1 probability,Level 2 label,Level 2 probability
com#,id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes,/Negative/Worry/,Negative,0.398,Worry,0.269
14,UgzwGGOOBmZHaZBXOkl4AaABAg,badalki,6 days ago,1.51267E+12,what a prick. So what if he started with nothing and worked his way up to wealth. That doesn't give him the right to take that opportunity away from other people.,0,FALSE,0,,,,,,,/Negative/Hate/,Negative,0.471,Hate,0.235
,Ugw3cGhMf8j4Z8iqykl4AaABAg,Matthew Miller,6 days ago,1.51267E+12,Overturn Citizens United.  Thanks Cenk!,0,FALSE,0,,,,,,,/Positive/Happiness/,Positive,0.446,Happiness,0.299
,UgywcUeUzvVYEQZPfIt4AaABAg,Lew Rodd,1 week ago,1.51259E+12,"How long has this been happening? Americans are literally killing themselves with their indifference for others, (I'm OK so I don't care who's suffering��just leave me alone) when the bottom falls out of America the Americans will be the most surprised people in the world.�� Only in America can��ordinarily sane people be made to do and believe such crazy things.",1,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.446,Worry,0.243
,Ugzer5YW5BHgd2xNgdB4AaABAg,CButtonshaw,1 week ago,1.51259E+12,such a hunchback,0,FALSE,0,,,,,,,/Positive/Fun/,Positive,0.505,Fun,0.274
,Ugx_LD_VsLr-U_lihJR4AaABAg,Ken,1 week ago,1.51259E+12,"Enjoy them tax cuts, they will be your last free lunch.",0,FALSE,0,,,,,,,/Positive/Love/,Positive,0.371,Love,0.241
,Ugx5x_HPOAEuAXL9jtF4AaABAg,nunyabiznes nunyabiznes,1 week ago,1.51259E+12,All this mess wouldn�۪t happen if keep our lobbyists. We seriously need to make lobbying illegal,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.684,Worry,0.264
,UgzS8xCI_dpPnNN12_h4AaABAg,Sxmmerville,2 weeks ago,1.51198E+12,_ِ�PAC,0,FALSE,0,,,,,,,/Neutral/Empty tweets / Garbage / No sentiments/,Neutral,0.427,Empty tweets / Garbage / No sentiments,0.527
,Ugw8SvcVXEQn2XgiFrt4AaABAg,Lord Beerus,2 weeks ago,1.51198E+12,Donors are ruining the parties.,1,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.429,Worry,0.243
,Ugz2zYRVMQlI3Ar3m294AaABAg,Robert McCabe,2 weeks ago,1.51198E+12,That guy is a Flaming  Idiot dont care about you or Average Peaple  dont call me a Billionaire wah or Ill cry,0,FALSE,0,,,,,,,/Negative/Worry/,Negative,0.62,Worry,0.25
,UgyM5CieavVk4echCD14AaABAg,Marniespeaks,2 weeks ago,1.51198E+12,(((fuckers))) play both sides,0,FALSE,0,,,,,,,/Positive/Fun/,Positive,0.498,Fun,0.33
,UgxO-ZdB_jR_zRtTvOl4AaABAg,Rob Wilsn,2 weeks ago,1.51198E+12,Didnt you blab on air that you make 10 million dollars a year just for sitting your fat ass in that chair and feed the public nonsense. Well toughguy. Give up some of that coin yu got and give it to the needy to get yur tax break. Lets see. I figure yu can live on 100 gramd a year. And the rest of yur coin. Donate it. All. But wait.. Yur gonna come up with sum lame ass excuse huh. Go figure.,0,FALSE,0,,,,,,,/Negative/Anger/,Negative,0.509,Anger,0.327
