"","X","user","com","degree","outdegree","uw_outdegree","indegree","betweenness","closeness","eigen","trollreply","trollid","density","N","weak_comp","stron_comp","modularity","activity","weight","response","trollcumresp","dens.re","mod.re","comcumresp","comrespbef","trollrespbef","inteactiontroll","interactioncom","anger","disgust","fear","joy","sadness"
"1",1,"Egg Head",1,4,3,3,1,3,0.0125,-0.449466575,0,1,0.090909091,11,2,10,0.495,3,0,0,1,0.036755707,0.174732731,2,0,0,0,0,"0.440709","0.330189","0.085796","0.131881","0.155474"
"2",2,"Hal Jordan",1,1,1,1,0,0,0.01,-0.449466575,0,1,0.090909091,11,2,10,0.495,1,0,0,1,0.036755707,0.174732731,2,0,0,0,2,"0.440709","0.330189","0.085796","0.131881","0.155474"
"3",3,"HerkimerSnerd",1,2,2,2,0,0,0.015873016,-0.449466575,0,1,0.090909091,11,2,10,0.495,2,1,1,1,0.036755707,0.174732731,2,0,0,0,2,"0.440709","0.330189","0.085796","0.131881","0.155474"
"4",4,"Jamie Cox",1,3,0,0,3,0,0.009090909,-0.449466575,1,1,0.090909091,11,2,10,0.495,1,0,0,1,0.036755707,0.174732731,2,1,1,0,0,"0.440709","0.330189","0.085796","0.131881","0.155474"
"5",5,"Lyric Guy",1,2,0,0,2,0,0.009090909,-0.449466575,0,1,0.090909091,11,2,10,0.495,1,0,0,1,0.036755707,0.174732731,2,1,1,0,0,"0.440709","0.330189","0.085796","0.131881","0.155474"
"6",6,"Nathan Baker",1,1,1,1,0,0,0.01,-0.449466575,0,1,0.090909091,11,2,10,0.495,1,0,0,1,0.036755707,0.174732731,2,1,1,0,0,"0.440709","0.330189","0.085796","0.131881","0.155474"
"7",7,"OutlawRebel117",1,2,1,1,1,0,0.01,2.022599587,0,1,0.090909091,11,2,10,0.495,1,0,0,1,0.036755707,0.174732731,2,1,1,0,1,"0.440709","0.330189","0.085796","0.131881","0.155474"
"8",8,"Payman Alemi",1,2,1,1,1,0,0.01,2.022599587,0,1,0.090909091,11,2,10,0.495,2,0,0,1,0.036755707,0.174732731,2,1,1,0,0,"0.440709","0.330189","0.085796","0.131881","0.155474"
"9",9,"ross vandenberg",1,1,0,0,1,0,0.009090909,-0.449466575,1,1,0.090909091,11,2,10,0.495,0,0,0,1,0.036755707,0.174732731,2,1,1,0,0,"0.440709","0.330189","0.085796","0.131881","0.155474"
"10",10,"rouge1ful",1,1,1,1,0,0,0.01,-0.449466575,0,1,0.090909091,11,2,10,0.495,1,0,0,1,0.036755707,0.174732731,2,1,1,0,0,"0.440709","0.330189","0.085796","0.131881","0.155474"
"11",11,"VEGITAS4",1,1,0,0,1,0,0.009090909,-0.449466575,1,1,0.090909091,11,2,10,0.495,0,0,0,1,0.036755707,0.174732731,2,1,1,0,0,"0.440709","0.330189","0.085796","0.131881","0.155474"
"12",12,"Bill Anderson",1,1,1,1,0,0,0.005464481,-0.549425067,0,2,0.075,16,2,13,0.336565097,1,0,0,0,0.024145552,0.001602524,2,1,0,0,0,"0.119777","0.160881","0.06192","0.577614","0.082479"
"13",13,"Captain XUltron",1,1,1,1,0,0,0.005464481,-0.549425067,0,2,0.075,16,2,13,0.336565097,1,0,0,0,0.024145552,0.001602524,2,1,0,0,0,"0.119777","0.160881","0.06192","0.577614","0.082479"
"14",14,"Egg Head",1,12,3,3,9,25,0.005128205,2.266947527,2,2,0.075,16,2,13,0.336565097,4,0,0,0,0.024145552,0.001602524,2,1,0,0,0,"0.119777","0.160881","0.06192","0.577614","0.082479"
"15",15,"Hal Jordan",1,2,2,2,0,0,0.005952381,-0.549425067,0,2,0.075,16,2,13,0.336565097,2,0,0,0,0.024145552,0.001602524,2,1,0,0,2,"0.119777","0.160881","0.06192","0.577614","0.082479"
"16",16,"HerkimerSnerd",1,2,3,2,0,0,0.005813953,-0.549425067,0,2,0.075,16,2,13,0.336565097,3,0,0,0,0.024145552,0.001602524,2,1,0,0,2,"0.119777","0.160881","0.06192","0.577614","0.082479"
"17",17,"James Soltis",1,1,1,1,0,0,0.005464481,-0.549425067,0,2,0.075,16,2,13,0.336565097,1,0,0,0,0.024145552,0.001602524,2,1,0,0,0,"0.119777","0.160881","0.06192","0.577614","0.082479"
